slug,title,keywords,accelerator,gpu,internet,sources
birdclef-2026-eos-4,BirdCLEF+ 2026 | EoS.4,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-eos-5,BirdCLEF+ 2026 | EoS.5,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-eos-5-a943b1,BirdCLEF+ 2026 | EoS.5 a943b1,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-eos-6,BirdCLEF+ 2026 | EoS.6,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-eos-7-sz,BirdCLEF+ 2026 | EoS.7 (sz),"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-eos-8,BirdCLEF+ 2026 | EoS.8,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-eos-9,BirdCLEF+ 2026 | EoS.9,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-eos-oof-gated-pcen,BirdCLEF+ 2026 - EoS+OOF Gated PCEN,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, PCEN, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|pilkwang/birdclef26-sidecar-exp001|pilkwang/birdclef26-sidecar-exp002-10s-weakaudio|pilkwang/birdclef26-sidecar-exp002b-5s-weakaudio|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|shadiakiki1/birdnet-analyzer/TfLite/birdnet_global_6k_v2.4_model_fp32-1/3|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-03-hgnetv2-b0-lse-no-ed54d6,Birdclef 2026 Exp 03 Hgnetv2 B0 Lse No Ed54D6,"Perch, SED, prior, TTA, PCA",,,,ttgrcgrc/hgnetv2-b0-lse-no-prior-v1-public
birdclef-2026-exp-03-hgnetv2-b0-lse-no-prio-5198fd,BirdCLEF 2026 EXP-03 HGNetV2-B0 LSE no prio 5198fd,"Perch, SED, prior, TTA, PCA",,,,ttgrcgrc/hgnetv2-b0-lse-no-prior-v1-public
birdclef-2026-exp-03-hgnetv2-b0-lse-no-prior,BirdCLEF 2026 EXP-03 HGNetV2-B0 LSE no prior,"Perch, SED, gate, prior, TTA, PCA",,,,ttgrcgrc/hgnetv2-b0-ssld-stage2-ft-in1k-weights
birdclef-2026-exp-09-pantanal-v18x-anchor,BirdCLEF 2026 EXP-09 Pantanal v18x anchor,"Perch, ProtoSSM, SED, rank, ensemble, gate, gated, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-10-protossm-resboost-anchor,BirdCLEF 2026 EXP-10 ProtoSSM ResBoost anchor,"Perch, ProtoSSM, SED, rank, blend, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-11-m23-delta-smooth,BirdCLEF 2026 EXP-11 m23 delta smooth,"Perch, ProtoSSM, SED, rank, ensemble, gate, gated, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-14-runtime-blend-09-11,BirdCLEF 2026 EXP-14 runtime blend 09+11,"Perch, ProtoSSM, SED, blend, ensemble, prior, TTA, PCA, smooth",,,,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-17-effnet20s-b0-no-prior,Birdclef 2026 Exp 17 Effnet20S B0 No Prior,"Perch, ProtoSSM, EfficientNet, SED, pseudo, blend, OOF, prior, TTA, PCA, smooth",,,,
birdclef-2026-exp-18-effnet20s-b0-submit-safe,Birdclef 2026 Exp 18 Effnet20S B0 Submit Safe,"Perch, ProtoSSM, EfficientNet, SED, blend, ensemble, prior, TTA, PCA, smooth",,,,ttgrcgrc/effnet20s-b0-no-prior-v1-public
birdclef-2026-exp-20-iter-pseudo-perch-sed,BirdCLEF 2026 EXP-20 iter pseudo Perch SED,"Perch, ProtoSSM, EfficientNet, SED, pseudo, rank, blend, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-21-m23-sed-pseudo,Birdclef 2026 Exp 21 M23 Sed Pseudo,"Perch, ProtoSSM, EfficientNet, SED, pseudo, rank, blend, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-22-accessible-sed-b0-08f356,Birdclef 2026 Exp 22 Accessible Sed B0 08F356,"Perch, ProtoSSM, EfficientNet, SED, pseudo, rank, blend, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,backtracking/birdclef2026-sed-b0-pseudo-r1-f01|jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-26-v18x-delta-only,Birdclef 2026 Exp 26 V18X Delta Only,"Perch, ProtoSSM, SED, rank, ensemble, gate, gated, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-27-ensemble0931-model5-ablation,BirdCLEF 2026 EXP 27 ensemble0931 Model5 ablation,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|stpeteishii/gpu-birdclef-2026-mobilenetv3-train|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-29-0934-protossm-only,BirdCLEF 2026 EXP-29 0934 ProtoSSM only,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-31-0943-sequence-sed-anchor,Birdclef 2026 Exp 31 0943 Sequence Sed Anchor,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-33-0943-seed-only,Birdclef 2026 Exp 33 0943 Seed Only,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-34-0943-seed-007,Birdclef 2026 Exp 34 0943 Seed 007,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-34-0943-seed-013,Birdclef 2026 Exp 34 0943 Seed 013,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-34-0943-seed-021,Birdclef 2026 Exp 34 0943 Seed 021,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-47-ted947-rerun-audit,birdclef 2026 exp 47 ted947 rerun audit,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-48-ted947-seed42-audit,birdclef 2026 exp 48 ted947 seed42 audit,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-gate-fake008-head0015,BirdCLEF+ 2026 Gate Fake008 Head0015,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|konbu17/bird26-train-audio-head-v1|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-improved-ensemble,BirdCLEF+ 2026 | Improved Ensemble ,"Perch, ProtoSSM, SED, rank, blend, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,yuriygreben/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-iter-pseudo-perch-sed-lb-0-934,BirdCLEF+ 2026 Iter-Pseudo Perch+SED LB 0.934,"Perch, ProtoSSM, EfficientNet, SED, pseudo, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|||needless090/birdclef2026-perch-tflite|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-onnx-perch-sequence-model-302597,BirdCLEF 2026 — ONNX Perch + Sequence Model 302597,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-perch-v2-protossm-0-925,BirdCLEF+ 2026 — Perch v2 + ProtoSSM · 0.925,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-s124-s114-g124-f1-rankblend,BirdCLEF 2026 S124 S114 G124 F1 RankBlend,"Perch, ProtoSSM, EfficientNet, SED, pseudo, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|itshyao/birdclef2026-g124-effv2s-2025pre-pseudo-assets|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-v6,BirdCLEF+ 2026 V6,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-visual-cpu-inference,BirdCLEF 2026 | Visual CPU Inference,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|mtoshidesu/birdclef-flow-diagram|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-26-onnx-perch-dual-ssms-vectori-87d214,BirdCLEF+ 26 | ONNX Perch Dual SSMs Vectori 87d214,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-26-onnx-perch-dual-ssms-vectorized-mlp,BirdCLEF+ 26 | ONNX Perch Dual SSMs Vectorized-MLP,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-26-two-pass-ssm-advanced-pp,BirdCLEF+ 26 | Two-Pass SSM + Advanced PP,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-26-two-pass-ssm-advanced-pp-d9c348,BirdCLEF+ 26 | Two-Pass SSM + Advanced PP d9c348,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-input-layout-debug,birdclef-input-layout-debug,"Perch, PCA",,,,ttgrcgrc/perch-probe-v1-public
birdclef-perch-probe,birdclef-perch-probe,"Perch, TTA",,,,ttgrcgrc/perch-probe-context15-v1-public|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
